area surveyed on 15th of every month												
all months except may & august A. Doe												
may: B. Jones												
august: C. Smith												
												
bellshroom	84	83	47	36	45	31	34	43	4.2	44	88	68
bulbroot	27	12	16	0	-	0	0	none	17	15	31	27
cityshroom	0	2	27	27	36	0	0	none	0	0	0	0
convexcap	0	0	0	0	-	0	0	none	109	287	274	131
foulhorn	0	0	0	0	-	0	0	none	56	89	81	39
graystalk	0	0	0	0	12	29	35	33	37	41	16	15
knobbly	0	0	0	0	-	0	13	66	71	59	72	11
leafhorn	23	25	28000	21	48	56	55	45	17	23	17	21
redcap	0	0	0	0	-	0	0	none	49	111	116	53
stinkstalk	0	0	0	0	-	0	0	none	13	29	31	0
velvet	0	0	0	3	-	0	0	none	0	0	0	0
